Sample_name,Locus,Hash,nReads
1306a-1,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,47700
1306a-1,1,bb5fb2d15b40f5c67f615a2ccbb5a4d273b97e2c,3290
1306a-1,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,930
1306a-1,1,27957660a97efa9a9104bb5329b3b2fd120cf083,597
1306a-1,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,1120
1306a-1,1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,984
1306a-1,1,a5874adbabc53f777c99fb9024505d9dee731280,389
1306a-1,1,856bdabd9da03b5f02d52e62eead9bbde41a60b2,881
1306a-1,1,ea00e637ccc8f3ae5de58757aa6fe53e625eb8b4,925
1306a-1,1,0e9ec584677641b0ef85b9741494a6e388b038e0,823
1306a-1,1,2706eeda1c9fb77568931d1b2026b81e6cd687cc,809
1306a-1,1,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,690
1306a-1,1,6607f34a8c8176caad41d9fba49dde524fe6582d,649
1306a-1,1,62f970dcf2771066e8ec5fd64e80be73cae0eb3e,439
1306a-1,1,5c1d134f78b36723519c11d026e7c1d84e2e2c10,327
1306a-1,1,74c3d0dd79f72261d07798440938648c202da5cb,206
1306a-1,1,efae7e8d5d9838a73f0d506c54d08b64ea922799,196
1306a-1,1,d4e3d252c66752d20bd44ee7949db5aae9b1dd3d,136
1306a-1,1,cf2bbf13897d0d0ece42c176fedc2e609cb3dd69,114
1306a-1,1,bbf1d39ed449cab2081c950baadb5a9249a9284e,103
1306a-1,1,265417acf5fc77ae020cee0d433496967276d1eb,102
1306a-1,1,a725a2e250ad69ea4b26fd47fa10ade3613f2875,21
1361a-1,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,14786
1361a-1,1,56720e36c8e3dbf5fa47388a19bc597831cbe056,38044
1361a-1,1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,8635
1361a-1,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,233
1361a-1,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,62
1361a-1,1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,23
1361a-1,1,ba46c8ebde338d28e15b9ce8544a3e74a4632ba8,690
1361a-1,1,ceeef90eb147b9672c36201812711d41250edff7,30
1361a-1,1,dffe9f4aca637850465b0a374333d9ca32ec8450,511
1361a-1,1,70d9fd12886e54976d74ed1b2ee60f3f8d2e4800,1241
1361a-1,1,03ea67a963ad676d73718b3d624602aaa37c13ee,1204
1361a-1,1,856bdabd9da03b5f02d52e62eead9bbde41a60b2,20
1361a-1,1,135de199fe38b050fc5f5ac9a2ae889134644702,823
1361a-1,1,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,10
1361a-1,1,398385192bb8ceccfa0cdeaaedff9b4dfad6a7af,625
1361a-1,1,2825c6e62fa8b54095edf569664866f2b94c5f69,591
1361a-1,1,db88129f2b7ae2201ca3d12deb67624b401b62ab,419
1361a-1,1,c7af124c15d54253f18c78958b7b1917afd3cc45,228
1361a-1,1,11b68e29bf0a4b8849bb316fa13b4eb4279247b8,206
1362a-1,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,43874
1362a-1,1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,24
1362a-1,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,829
1362a-1,1,0ea07e4d277fac985786f5ff6dcf1292fb336474,5331
1362a-1,1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,13
1362a-1,1,ceeef90eb147b9672c36201812711d41250edff7,3519
1362a-1,1,f0cbc36955810d6b51ffb5e49b03198511382a11,844
1362a-1,1,16fa89750f63ec8fefac91d81a631af41f9f5271,771
1362a-1,1,d886f9f9af80fd7ae3f48d3f8987aa4b040546a9,764
1362a-1,1,e8ed913f0dcb0eab32692b3d3137ac859fbdd6a8,195
1362a-1,1,4bf1ddd6716905ffb053822309d27fbe30f20682,90
1362a-1,1,6fccf36dddcd51cf437002f9395d5182295ceaa3,70
1306b-1,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,38174
1306b-1,1,7edc82ae907368e2ba93f8d04552ca58def53f5b,56
1306b-1,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,9
1306b-1,1,56720e36c8e3dbf5fa47388a19bc597831cbe056,1409
1306b-1,1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,367
1306b-1,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,447
1306b-1,1,27957660a97efa9a9104bb5329b3b2fd120cf083,35
1306b-1,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,51
1306b-1,1,0ea07e4d277fac985786f5ff6dcf1292fb336474,647
1306b-1,1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,91
1306b-1,1,ceeef90eb147b9672c36201812711d41250edff7,422
1306b-1,1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,89
1306b-1,1,335dd7220ff184674c10840a87824206d93c34c3,775
1306b-1,1,d1ed0ccaa595672fd45d4a37bac7a0b0383d6beb,265
1306b-1,1,9d28cf90834d7046adb1bd50c41adc8f15708774,440
1306b-1,1,6db24d6486d3a7bc554585af0d986f98a289258d,329
1306b-1,1,856bdabd9da03b5f02d52e62eead9bbde41a60b2,42
1306b-1,1,c8049f8ff74e387f0186c4a0403c77a9904680ec,30
1306b-1,1,b0bc58b2e22b2dded0e5fbe03da9f66ab26dc773,14
1306b-1,1,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,36
1306b-1,1,0a14859c216f4daf618556c1bcd170291240733a,176
1306b-1,1,38bc1d811f7128a22b6f2221499ca0c120fca79f,181
1306b-1,1,9f273d6abddc84109b566a1fcbb28c459ff2760e,43
1306b-1,1,accf5d62507bd50b179bc8cf3384141f89b53ab4,73
1361b-1,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,79634
1361b-1,1,7edc82ae907368e2ba93f8d04552ca58def53f5b,165
1361b-1,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,5
1361b-1,1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,18
1361b-1,1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,881
1361b-1,1,ceeef90eb147b9672c36201812711d41250edff7,20
1361b-1,1,335dd7220ff184674c10840a87824206d93c34c3,2065
1361b-1,1,d1ed0ccaa595672fd45d4a37bac7a0b0383d6beb,669
1361b-1,1,9d28cf90834d7046adb1bd50c41adc8f15708774,1041
1361b-1,1,6db24d6486d3a7bc554585af0d986f98a289258d,881
1361b-1,1,0a14859c216f4daf618556c1bcd170291240733a,497
1361b-1,1,68475da88129c2d90e9f44e582c8aceb9ab95d51,647
1361b-1,1,38bc1d811f7128a22b6f2221499ca0c120fca79f,460
1361b-1,1,56a19762bdb73bc2b544fe2520a76eb6cf205b75,261
1361b-1,1,9f273d6abddc84109b566a1fcbb28c459ff2760e,101
1361b-1,1,a56436aab467b81369c89f85f7d721b81abeb2bc,37
1362b-1,1,42737cd65bab38b57ea8949256ab1dbc59f5d054,10317
1362b-1,1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,41
1362b-1,1,56720e36c8e3dbf5fa47388a19bc597831cbe056,5474
1362b-1,1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,1273
1362b-1,1,27957660a97efa9a9104bb5329b3b2fd120cf083,41
1362b-1,1,c2c5504fad8054bb4b57e18ae24c1e5267345799,70
1362b-1,1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,59
1362b-1,1,1a57477efc4a7c8e63ae71c66d10b258345aa22e,90
1362b-1,1,ceeef90eb147b9672c36201812711d41250edff7,134
1362b-1,1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,222
